Era,Time,Sig_Landed,Sig_Att,TD_Landed,TD_Att,Sig_Landed_Per_Min,Sig_Att_Per_Min,TD_Landed_Per_Min,TD_Att_Per_Min
Dark Ages,12.0,8,11,3,7,0.6666666666666666,0.9166666666666666,0.25,0.5833333333333334
Dark Ages,2.966666666666667,23,32,1,1,7.752808988764045,10.786516853932584,0.33707865168539325,0.33707865168539325
Dark Ages,1.9333333333333331,3,7,1,1,1.5517241379310347,3.620689655172414,0.5172413793103449,0.5172413793103449
Dark Ages,10.016666666666667,9,19,1,1,0.8985024958402662,1.8968386023294508,0.09983361064891846,0.09983361064891846
Dark Ages,8.0,17,49,4,4,2.125,6.125,0.5,0.5
Dark Ages,0.4666666666666667,6,8,1,1,12.857142857142858,17.142857142857142,2.142857142857143,2.142857142857143
Dark Ages,1.35,6,6,0,0,4.444444444444444,4.444444444444444,0.0,0.0
Dark Ages,1.3833333333333333,7,13,1,2,5.0602409638554215,9.397590361445783,0.7228915662650602,1.4457831325301205
Dark Ages,2.8833333333333333,25,32,0,0,8.670520231213873,11.098265895953757,0.0,0.0
Dark Ages,6.466666666666667,15,27,0,0,2.319587628865979,4.175257731958763,0.0,0.0
Dark Ages,4.5,9,43,0,0,2.0,9.555555555555555,0.0,0.0
Dark Ages,13.0,18,29,0,0,1.3846153846153846,2.230769230769231,0.0,0.0
Dark Ages,5.0,4,4,0,0,0.8,0.8,0.0,0.0
Dark Ages,6.566666666666666,13,42,0,0,1.9796954314720814,6.395939086294416,0.0,0.0
Dark Ages,4.683333333333334,35,59,0,0,7.473309608540925,12.597864768683273,0.0,0.0
Dark Ages,4.333333333333333,21,35,0,0,4.846153846153847,8.076923076923077,0.0,0.0
Dark Ages,6.316666666666666,21,46,0,0,3.324538258575198,7.282321899736148,0.0,0.0
Dark Ages,2.85,10,20,0,0,3.508771929824561,7.017543859649122,0.0,0.0
Dark Ages,10.0,25,32,1,2,2.5,3.2,0.1,0.2
Dark Ages,10.0,11,14,0,3,1.1,1.4,0.0,0.3
Dark Ages,10.0,48,81,0,1,4.8,8.1,0.0,0.1
Dark Ages,10.216666666666669,20,61,1,1,1.9575856443719408,5.9706362153344195,0.09787928221859704,0.09787928221859704
Dark Ages,15.0,77,117,5,9,5.133333333333334,7.8,0.3333333333333333,0.6
Dark Ages,3.883333333333333,13,28,0,0,3.3476394849785414,7.21030042918455,0.0,0.0
Dark Ages,0.5,3,3,1,1,6.0,6.0,2.0,2.0
Dark Ages,2.1333333333333333,3,4,0,0,1.40625,1.875,0.0,0.0
Dark Ages,15.0,12,30,0,0,0.8,2.0,0.0,0.0
Dark Ages,19.7,31,61,0,0,1.5736040609137056,3.0964467005076144,0.0,0.0
Dark Ages,25.0,10,43,6,11,0.4,1.72,0.24,0.44
Dark Ages,11.283333333333331,14,47,0,0,1.2407680945347122,4.1654357459379625,0.0,0.0
Dark Ages,9.25,1,4,0,0,0.10810810810810811,0.43243243243243246,0.0,0.0
Dark Ages,13.2,22,105,0,1,1.6666666666666667,7.954545454545455,0.0,0.07575757575757576
Dark Ages,8.2,18,41,0,0,2.1951219512195124,5.0,0.0,0.0
Dark Ages,1.4666666666666666,2,2,1,2,1.3636363636363638,1.3636363636363638,0.6818181818181819,1.3636363636363638
Dark Ages,15.0,20,26,0,0,1.3333333333333333,1.7333333333333334,0.0,0.0
Dark Ages,10.0,22,40,5,6,2.2,4.0,0.5,0.6
Dark Ages,3.15,0,0,1,1,0.0,0.0,0.31746031746031744,0.31746031746031744
Dark Ages,7.683333333333334,54,107,3,3,7.02819956616052,13.926247288503253,0.39045553145336226,0.39045553145336226
Dark Ages,6.483333333333333,22,47,1,5,3.3933161953727504,7.249357326478149,0.15424164524421594,0.7712082262210797
Dark Ages,15.0,37,99,0,0,2.466666666666667,6.6,0.0,0.0
Dark Ages,13.583333333333334,33,53,2,4,2.429447852760736,3.9018404907975457,0.14723926380368096,0.29447852760736193
Dark Ages,3.3833333333333333,9,19,0,0,2.6600985221674875,5.615763546798029,0.0,0.0
Dark Ages,5.516666666666667,11,21,4,4,1.9939577039274925,3.806646525679758,0.7250755287009063,0.7250755287009063
Dark Ages,4.633333333333334,8,16,2,2,1.7266187050359711,3.4532374100719423,0.4316546762589928,0.4316546762589928
Dark Ages,25.0,20,43,4,6,0.8,1.72,0.16,0.24
Dark Ages,11.9,3,19,3,8,0.25210084033613445,1.5966386554621848,0.25210084033613445,0.6722689075630252
Dark Ages,15.0,13,45,0,0,0.8666666666666667,3.0,0.0,0.0
Dark Ages,15.0,51,62,3,5,3.4,4.133333333333334,0.2,0.3333333333333333
Dark Ages,10.0,26,55,3,6,2.6,5.5,0.3,0.6
Dark Ages,7.216666666666667,16,26,1,1,2.2170900692840645,3.602771362586605,0.13856812933025403,0.13856812933025403
Dark Ages,15.0,4,84,0,0,0.26666666666666666,5.6,0.0,0.0
Dark Ages,4.566666666666666,18,31,2,3,3.9416058394160585,6.788321167883212,0.43795620437956206,0.6569343065693432
Dark Ages,5.716666666666667,6,10,0,0,1.0495626822157433,1.749271137026239,0.0,0.0
Dark Ages,6.716666666666667,9,18,2,2,1.3399503722084367,2.6799007444168734,0.2977667493796526,0.2977667493796526
Dark Ages,15.0,16,60,1,1,1.0666666666666667,4.0,0.06666666666666667,0.06666666666666667
Dark Ages,25.0,17,52,2,4,0.68,2.08,0.08,0.16
Dark Ages,4.533333333333333,2,6,1,2,0.4411764705882353,1.3235294117647058,0.22058823529411764,0.4411764705882353
Dark Ages,15.0,43,55,0,0,2.8666666666666667,3.6666666666666665,0.0,0.0
Dark Ages,1.1666666666666667,1,3,1,1,0.8571428571428571,2.571428571428571,0.8571428571428571,0.8571428571428571
Dark Ages,1.55,2,7,0,0,1.2903225806451613,4.516129032258064,0.0,0.0
Dark Ages,15.0,30,61,0,0,2.0,4.066666666666666,0.0,0.0
Dark Ages,10.0,31,62,1,4,3.1,6.2,0.1,0.4
Dark Ages,12.466666666666669,33,54,0,0,2.6470588235294112,4.331550802139037,0.0,0.0
